Wall time,Step,Value
1691999084.1781948,84,7.618427276611328
1691999084.6832242,90,7.528074264526367
1691999086.0084167,106,7.173850059509277
1691999086.1724682,108,6.9660797119140625
1691999086.4204686,111,7.0916242599487305
1691999087.3680897,122,6.609350204467773
1691999088.6906888,137,6.302811622619629
1691999088.9553535,140,6.134381294250488
1691999090.6800308,160,6.157670021057129
1691999091.8016732,172,5.594548225402832
1691999093.6116,192,5.709173202514648
1691999096.2025146,221,5.681482315063477
1691999096.47259,224,5.700855255126953
1691999097.3344433,233,5.683661460876465
1691999098.980135,249,5.474153518676758
1691999099.1651351,251,5.499449253082275
1691999103.3600612,295,5.405276298522949
1691999103.8206623,300,5.370043754577637
1691999105.2208655,315,5.523031711578369
1691999105.7598681,321,5.583307266235352
1691999106.2272816,326,5.306286811828613
1691999106.9334755,333,5.440207481384277
1691999107.5207572,339,5.377789497375488
1691999110.8783205,374,5.314885139465332
1691999111.0588765,376,5.296506404876709
1691999111.7918918,384,5.339981555938721
1691999113.6660032,405,5.360287666320801
1691999114.387648,413,5.3802170753479
1691999116.1758344,433,5.284875869750977
1691999120.973058,487,5.354029655456543
1691999121.0600803,488,5.267326831817627
1691999122.5878315,505,5.24770450592041
1691999122.8668325,508,5.241077899932861
1691999123.1344616,511,5.168683052062988
1691999124.4580991,526,5.322021961212158
1691999124.7241447,529,5.222204208374023
1691999124.8141186,530,5.327005386352539
1691999125.7253568,540,5.156683921813965
1691999127.4451048,559,5.138838768005371
1691999129.3879735,580,5.088212013244629
1691999130.9272156,597,5.108613014221191
1691999131.3788176,602,5.321732044219971
1691999133.821787,629,5.139154434204102
1691999134.68383,639,5.158212661743164
1691999135.1889482,645,5.111856460571289
1691999135.7771282,652,5.0752854347229
1691999135.878128,653,5.074129104614258
1691999138.8141046,686,4.797019004821777
1691999138.9872644,688,4.886148452758789
1691999140.0619864,700,4.733992099761963
1691999140.703016,707,4.834402084350586
1691999140.7950156,708,4.810906410217285
1691999140.9785979,710,4.757500648498535
1691999141.240598,713,4.855467796325684
1691999141.414598,715,4.800158500671387
1691999142.466978,727,4.770127296447754
1691999143.3527277,737,4.764407634735107
1691999147.1862016,780,4.656548500061035
1691999147.9082708,788,4.7578125
1691999148.633943,796,4.754080295562744
1691999149.438585,805,4.699908256530762
1691999150.5942633,818,4.895364284515381
1691999150.950862,822,4.89840841293335
1691999151.7609227,831,4.838943958282471
1691999152.1314938,835,4.915079116821289
1691999152.3040886,837,4.779462814331055
1691999152.484262,839,4.658735275268555
1691999153.1149476,846,4.817384243011475
1691999153.5619667,851,4.806456565856934
1691999153.7399614,853,4.855279922485352
1691999154.1785796,858,4.839828014373779
1691999154.3546395,860,4.817381858825684
1691999154.7047076,864,4.955606460571289
1691999155.0672793,868,4.815606594085693
1691999155.6083488,874,4.878057479858398
1691999155.695349,875,4.763045310974121
1691999157.7648296,898,4.821717262268066
1691999158.130492,902,4.831416606903076
1691999161.0624127,935,4.8825273513793945
1691999161.6804395,942,4.831217288970947
1691999162.218016,948,4.938177108764648
1691999163.4386892,962,4.973653793334961
1691999163.7886894,966,4.881661891937256
1691999164.4134004,973,4.875851631164551
1691999164.5864007,975,4.821612358093262
1691999165.2960355,983,4.915502548217773
1691999166.5407367,997,4.831661701202393
1691999166.6287367,998,4.7345099449157715
1691999167.519526,1008,4.759671211242676
1691999167.786516,1011,4.844508171081543
1691999168.5987177,1020,4.8949198722839355
1691999169.3165443,1028,4.838705062866211
1691999170.1041448,1037,4.821260452270508
