Wall time,Step,Value
1691998002.0400553,84,7.45722770690918
1691998002.5151038,90,7.351767063140869
1691998003.8187919,106,7.061501502990723
1691998003.9803889,108,7.160798072814941
1691998004.229389,111,7.104733943939209
1691998005.1113675,122,7.148764610290527
1691998006.3308573,137,6.787879943847656
1691998006.5938332,140,6.721427917480469
1691998008.3842356,160,6.468107223510742
1691998009.435278,172,6.463048458099365
1691998011.189832,192,6.194762706756592
1691998013.7138867,221,5.48687744140625
1691998013.9714954,224,5.5430803298950195
1691998014.7426796,233,5.667943000793457
1691998016.1579623,249,5.265316009521484
1691998016.3345728,251,5.186792373657227
1691998020.1111083,295,4.6191325187683105
1691998020.533194,300,4.599699974060059
1691998021.82477,315,4.5732855796813965
1691998022.382911,321,4.496431350708008
1691998022.8045695,326,4.497485637664795
1691998023.404208,333,4.544013023376465
1691998023.903264,339,4.541275978088379
1691998026.971713,374,4.473168849945068
1691998027.1447127,376,4.42704963684082
1691998027.8447437,384,4.461106300354004
1691998029.6759605,405,4.513734817504883
1691998030.3646076,413,4.476850509643555
1691998032.1207035,433,4.457686901092529
1691998037.429162,487,4.50449275970459
1691998037.5211635,488,4.4733967781066895
1691998039.0034666,505,4.457542419433594
1691998039.2604947,508,4.481074333190918
1691998039.5464942,511,4.427663803100586
1691998040.9042897,526,4.516064643859863
1691998041.1639137,529,4.468522071838379
1691998041.256948,530,4.460202693939209
1691998042.131553,540,4.5114240646362305
1691998043.8132796,559,4.480468273162842
1691998045.6491878,580,4.448895454406738
1691998047.1505547,597,4.334930419921875
1691998047.621569,602,4.5055012702941895
1691998050.065123,629,4.45224142074585
1691998051.0176604,639,4.469008445739746
1691998051.5636604,645,4.460867881774902
1691998052.1895537,652,4.430089473724365
1691998052.273547,653,4.417296409606934
1691998055.161642,686,4.2756195068359375
1691998055.3326423,688,4.399421691894531
1691998056.3783555,700,4.304624557495117
1691998056.9719946,707,4.28949499130249
1691998057.0649917,708,4.372171878814697
1691998057.2460237,710,4.318449020385742
1691998057.5040238,713,4.323225498199463
1691998057.7050238,715,4.402006149291992
1691998058.757791,727,4.399212837219238
1691998059.6404736,737,4.310898780822754
1691998063.5734317,780,4.253063201904297
1691998064.2650783,788,4.278082847595215
1691998064.9766877,796,4.33144474029541
1691998065.76668,805,4.369694232940674
1691998066.895223,818,4.395723819732666
1691998067.2531717,822,4.284059047698975
1691998068.0119417,831,4.218240261077881
1691998068.3710003,835,4.297131538391113
1691998068.5399985,837,4.254428863525391
